1,00:04:12
2,00:03:52
3,00:03:41
4,00:04:10
5,00:04:17
6,00:04:57
7,00:04:50
8,00:04:24
9,00:02:26
10,00:04:30
11,00:03:18
12,00:01:28
13,00:04:11
14,00:03:39
15,00:03:34
16,00:03:40
17,00:03:06
18,00:02:25
19,00:03:38
20,00:02:55
21,00:03:18
22,00:03:57
23,00:02:33
24,00:03:05
25,00:04:13
26,00:02:41
27,00:03:03
28,00:03:20
29,00:03:29
30,00:03:22
31,00:03:12
32,00:04:07
33,00:03:28
34,00:03:03
35,00:03:46
36,00:04:36
37,00:03:16
38,00:04:41
39,00:03:20
40,00:03:31
41,00:05:17
42,00:03:58
43,00:03:40
44,00:02:58
45,00:03:11
46,00:03:04
47,00:04:32
48,00:03:14
49,00:03:54
50,00:04:03
51,00:04:44
52,00:03:35
53,00:02:36
54,00:03:15
55,00:03:57
56,00:04:06
57,00:03:58
58,00:03:33
59,00:05:26
60,00:05:33
61,00:04:16
62,00:04:13
63,00:04:00
64,00:03:47
65,00:05:20
66,00:03:15
67,00:04:06
68,00:04:26
69,00:05:02
70,00:05:06
71,00:04:46
72,00:03:31
73,00:03:32
74,00:03:34
75,00:04:29
76,00:06:54
77,00:06:56
78,00:02:56
79,00:05:22
80,00:01:07
81,00:03:15
82,00:03:46
83,00:04:35
84,00:03:50
85,00:03:43
86,00:03:55
87,00:04:55
88,00:02:45
89,00:03:33
90,00:02:13
91,00:04:05
92,00:03:19
93,00:02:12
94,00:04:28
95,00:04:20
96,00:03:40
97,00:03:54
98,00:03:16
99,00:02:46
100,00:03:29
101,00:04:25
102,00:03:35
103,00:04:19
104,00:03:27
105,00:03:52
106,00:03:55
107,00:04:09
108,00:04:38
109,00:03:30
110,00:03:36
111,00:04:33
112,00:00:59
113,00:02:13
114,00:03:17
115,00:01:06
116,00:00:44
117,00:02:12
118,00:01:56
119,00:02:45
120,00:03:31
121,00:03:30
122,00:02:29
123,00:04:58
124,00:06:51
125,00:05:56
126,00:06:16
127,00:07:19
128,00:04:47
129,00:03:01
130,00:01:59
131,00:04:13
132,00:06:04
133,00:03:58
134,00:03:03
135,00:04:36
136,00:02:56
137,00:02:54
138,00:05:51
139,00:03:54
140,00:04:31
141,00:03:44
142,00:03:33
143,00:03:15
144,00:04:30
145,00:03:50
146,00:02:49
147,00:04:29
148,00:03:21
